id,title,text,rse,url,publication_date,published_at,rssfeed_id,source
0022MRWNZL,Plan now for higher risk of bird flu in winter,"Plan now for higher risk of bird flu in winter 
Poultry can become infected with bird flu viruses through direct contact with infected wild birds or their droppings. Wageningen Bioveterinary Research ( WBVR ) previously showed that the risk of introducing low pathogenic avian influenza viruses is higher for free-range poultry farms. In a recent study, WBVR examined whether this risk is greater at certain times of the year. 
For this study, data from the serological monitoring program for avian influenza was used, and eggs were collected from 261 runners for two years. In the monitoring program, blood samples from poultry are tested every three months for the presence of antibodies against bird flu. When antibodies were detected, the eggs - collected in the period prior to the detection of antibodies - were tested to determine the moment of introduction of the virus. Using mathematical and statistical models, the time of virus introduction and the time of year with higher risk of introductions were then calculated. 
Interventions focus on the winter period 
This study has shown that most releases of low pathogenic avian influenza viruses occur in the months of November through February. The same risk period was seen for the introduction of highly pathogenic avian influenza viruses. The risk of bird flu virus introduction to poultry farms during this period was four times higher than in the summer months. In winter, large numbers of migratory birds are present, which hibernate in our country. Interventions, also from agricultural entrepreneurs, aimed at preventing the introduction of avian influenza virus should therefore be particularly focused on in the winter period. Summary. 
The results of this study are mainly applicable to the Dutch situation and to free‐range layers in particular. We do not know whether the identified risk period, or presence of a distinct seasonal risk, would be similar in other European countries. The correlation observed between the risk period of introductions in poultry and the period of higher abundance of migratory waterfowl in the Netherlands might be used as correlate ( abundance of migratory waterfowl ) of seasonal risk that could be used to identify potential risk periods in neighboring countries. The results can be used to optimize risk‐based surveillance, take preventive measures in high‐risk months and inform decisions on timing and duration of indoor confinement during AI outbreaks in the Netherlands. Reduction in AI introductions into commercial poultry will benefit animal welfare, economy and public health.",#,https://thepoultrysite.com/news/2020/08/plan-now-for-higher-risk-of-bird-flu-in-winter,1596414726,2020-08-02 22:32:06+00:00,075a4e9c14,thepoultrysite.com
02NY20X4AK,Researchers assess live poultry trade factor in bird flu spread,"Researchers assess live poultry trade factor in bird flu spread 
BEIJING, March 3 ( Xinhua ) -- Researchers have figured out a new method for bird flu warning by studying the poultry trade network and virus transmission in China, according to a recent research article published in journal PNAS. 
The emergence and transmission of the bird flu, or avian influenza viruses ( AIVs ), posed a threat to public health. And the live poultry trade is thought to be a crucial factor in the spread of AIVs in Asia, said the article. 
The researchers hoped to find out the role of the poultry trade in disseminating AIVs over large geographic areas around the world, especially in developing countries. 
They combined virus genomes and reconstructed poultry transportation data to measure and compare the spatial spread in China of three main AIV subtypes of H5N1, H7N9, and H5N6. 
After analyzing large-scale genome sequences, they found evidence that AIV subtypes among the domestic poultry experienced contagious diffusion, which was likely associated with the intensity of the live poultry trade in China. 
The researchers also reported a regional-scale community structure in China that might explain the spread of AIV subtypes in the country. 
The identification of this structure has the potential to inform more targeted strategies for the prevention and control of AIVs in China.",#,http://www.xinhuanet.com/english/2020-03/03/c_138839895.htm,1583235290,2020-03-03 10:34:50+00:00,075a4e9c14,www.xinhuanet.com
0358WRBFLA,Sticking together: how Irish free-range egg farmers are navigating the bird flu outbreak,"Sticking together: how Irish free-range egg farmers are navigating the bird flu outbreak 
According to reporting in Agriland, poultry farmers in Ireland are operating in a `` high-stress '' environment. A number of flocks have been impacted by a recent spate of bird flu infections, and many free-range egg producers say they feel `` underrepresented '' in official decisions made about their own livelihoods. 

To respond to these challenges, Agriland reports that a number of producers have created their own representative and advocacy group. The group wants to help free-range egg producers, `` navigate the challenges, uncertainties and general queries, '' they may have. The group is based on supporting and informing fellow farmers. 

The main aim of the group is to address the fears many producers have of avian influenza. Brendan Soden, the chair of the group said, `` [ we ] have a Whats. 
App group with around 120 free-range egg producers where everyone can keep each other informed on what's going on. If there was an outbreak of bird flu in a producer's area, we have a tool as a way of notifying them now. '' 

Soden told Agriland that many producers are concerned about the financial burdens of losing a flock to avian influenza. 

`` As far as I am aware, there is no long-term of continuous scheme for compensation for us producers if we suffer financially form bird flu and it does n't look like there will be in the future ... We have basically been looking to our own to look after us, with little help from industry. We are underrepresented and, therefore, do n't have those in industry helping us, '' he said.",#,https://thepoultrysite.com/news/2020/07/sticking-together-how-irish-free-range-egg-farmers-are-navigating-the-bird-flu-outbreak,1594800897,2020-07-15 06:14:57+00:00,075a4e9c14,thepoultrysite.com
03O5W3LFYT,"COVID-19: Price competitive poultry “least impacted in economic slowdown,” says Rabobank","COVID-19: Price competitive poultry `` least impacted in economic slowdown, '' says Rabobank 
23 Mar 2020 -- In a new Rabobank analysis, the outlook for global poultry in 2020 will be materially affected by the current coronavirus pandemic. Even during the economic slowdown, poultry demand may yet stand to benefit among other animal-based proteins due to its price competitiveness. Meanwhile, a further drop in Asian pork production due to African swine fever ( ASF ) is expected this year, which the report outlines could lead to potential growth in local poultry production and international trade if rising supply chain challenges can be managed. `` It's very difficult to assess how long this will take and depends of course on how much further and how long the coronavirus will spread further. In our view, this will affect poultry trade further at least in Q1/Q2 and possibly longer, '' Nan-Dirk Mulder, Senior Global Specialist -- Animal Protein at Rabobank, tells Food. 
IngredientsFirst. `` In terms of markets, we expect more at-home poultry consumption and higher sales of non-perishable poultry products. Labor availability and logistics issues, such as those impacting distribution, will likely affect supply in the coming months. Coronavirus will also affect the global supply of poultry inputs, such as feed additives and animal health products, due to disruptions with Chinese and other suppliers, '' he explains. From a global demand perspective, the Rabobank report underscores that poultry is generally the least-impacted protein in a global economic slowdown, primarily due to its price competitiveness. The spread of COVID-19, however, adds further uncertainties to an already volatile market faced with the outbreak of avian influenza. `` Volatility is driven by the ongoing impact of ASF and reductions in global pork production, avian influenza outbreaks in Europe, Asia, and Africa, as well as some potential trade disruptions, '' says Mulder. `` Trade issues include Brexit, the US-China trade agreement, new trade restrictions in the Middle East, but also the opening of trade between the US and EU and some Asian countries. '' Click to Enlarge. 
The report notes that poultry is the least-impacted protein in a global economic slowdown given its price competitiveness. Impacts of ASF and avian influenzaASF and avian influenza are flagged by Rabobank as two main factors that push up market volatility. ASF notably contributed to a protein shortage in China, which has led to the culling of millions of hogs in the past year. The outbreak will remain a major driver of volatility in poultry markets, with increasing import demand in countries like China and potential supply shocks in local markets like Vietnam and the Philippines. Global poultry markets are currently affected by a new wave of avian influenza outbreaks, which typically spreads in Northern Hemisphere winters. Eastern Europe has been most affected, especially Poland, Romania, Slovakia, the Czech Republic, Hungary and Ukraine. As Poland and Ukraine are major global traders, it also affects global markets, details the Rabobank analysis. In Poland, the industry can refocus trade towards the big intra-EU market. For Ukraine, the many avian influenza-related trade restrictions can only be offset by increasing sales in the local market or by reducing production until trade is restored. Meanwhile, Asian markets, like China, Taiwan, Vietnam and Saudi Arabia have been hit by avian influenza outbreaks. This will impact local market conditions this year, especially due to the impact of culling, but with a more limited impact on trade. Last November, China decided to lift its four-year ban on poultry imports from the US, signaling new trade opportunities for North American chicken. The ban was first enforced by China in 2015 following an outbreak of avian influenza, which has since been the focal point of trade negotiations between Beijing and Washington DC. Click to Enlarge. 
The world's top-performing poultry markets are currently Brazil and Thailand. Top performing poultry markets. 
The world's top-performing poultry markets are currently Brazil and Thailand, while the EU, Indonesia, South Africa, and Mexico are currently in recovery mode, highlights Rabobank's report. The weakest performing markets are the US ( with `` big oversupply '' ), India, and China, with the latter expected to improve later this year. Trade agreements and restrictions are still shaking up global trade volumes, the analysis reveals. On one hand, trade liberalization via US-China and EU-Vietnam agreements will bump up trade, as restrictions on trade in Saudi Arabia, and potentially South Africa and the UK, could present challenges. The global trade of poultry will face more volatility this year, with both destinations and origins affected, as well as pricing, reports Rabobank. Total volumes are likely to be affected temporarily due to COVID-19. As read in previous Food. 
IngredientsFirst coverage, coronavirus concerns contributed to a significant World Food Price dip in February. By Benjamin Ferrer 

To contact our editorial team please email us at 
editorial@cnsmedia.com 

If you found this article valuable, you may wish to receive our newsletters. 
Subscribe now to receive the latest news directly into your inbox.",Eastern Europe,https://www.foodingredientsfirst.com/news/covid-19-price-competitive-poultry-least-impacted-in-economic-slowdown-says-rabobank.html,1584961425,2020-03-23 10:03:45+00:00,075a4e9c14,www.foodingredientsfirst.com
03UEZ5I9KO,Germany Confirms Multiple Cases of Bird Flu in Three States,"German authorities have confirmed cases of bird flu in the states of Mecklenburg-Western Pomerania, Schleswig-Holstein and Hamburg and called for stepped-up monitoring of poultry farms, the Agriculture Ministry said in a statement.The Federal Research Institute for Animal Health in October classified the risk of bird flu in Germany as high given that wild birds carry the influenza across borders. So far only individual cases of the virus has been detected, the ministry said.",#,https://www.bloomberg.com/news/articles/2020-10-31/germany-confirms-multiple-cases-of-bird-flu-in-three-states,1604150700,2020-10-31 12:25:00+00:00,075a4e9c14,www.bloomberg.com
04EI640HTW,Kagawa Pref. Confirms 4th Case of Bird Flu This Year,"Kagawa Pref. Confirms 4th Case of Bird Flu This Year 

Newsfrom Japan 

Society 
Nov 13, 2020 

Takamatsu, Kagawa Pref., Nov. 13 ( Jiji Press ) -- Another case of bird flu infections has been confirmed in Kagawa Prefecture, western Japan, the prefectural government said Friday. 
The latest case is the fourth in Japan this year. The previous three cases were also detected in Kagawa. 
The fourth case occurred at a chicken farm in the city of Mitoyo. On Thursday, the prefectural government received a report of an increase in dead chickens at the farm. Bird flu infections were then confirmed in simplified tests. 
Through a gene test on Friday, the strain of bird flu found at the farm was found likely to be highly pathogenic. 
The prefectural government plans to cull about 10,000 chickens at the farm. It has instructed other chicken farms within 10 kilometers to restrict shipments of chickens and eggs outside the area. 
[ Copyright The Jiji Press, Ltd.. ]",western Japan,https://www.nippon.com/en/news/yjj2020111300521/,1605241400,2020-11-13 03:23:20+00:00,075a4e9c14,www.nippon.com
04Z1W8ZJBS,Egypt: Poultry exports approved after 14 years,"Egypt: Poultry exports approved after 14 years 
The World Organisation for Animal Health ( OIE ) has approved poultry exports from Egypt, which were suspended in 2006 following an outbreak of bird flu. 

Egyptian companies that have shown no evidence of infection with avian influenza viruses will be able to resume exporting their products -- including day-old chicks, table eggs, fertilised eggs and broiler chickens -- for the first time in 14 years. Ahram Online reports that the move is expected to help boost poultry production, support the economy, and increase Egypt's foreign reserves. 

Egypt's poultry firms have achieved self-sufficiency in poultry and eggs. Photo: Tuulikki Viilo 

Isolated in the deserts 
The farms free of avian flu are in the deserts. The isolated establishments system is an international mechanism recommended by the OEI to allow countries to export their poultry products, provided the facilities are free of epidemics. A total of 14 poultry facilities belonging to 8 of Egypt's largest poultry firms, which have implemented epidemiological and biosecurity measures, have requested approval. According to the Minster of Agriculture and Land Reclamation, al-Sayed al-Qaseir, poultry firms have achieved self-sufficiency in poultry and eggs, and establishing giant projects in desert areas aims to increase investments and the efficiency of farms, Egypt Independent reports. 
Track Avian Influenza Outbreaks 
For more information on Avian Influenza news, research and outbreaks click here",#,https://www.poultryworld.net/Health/Articles/2020/6/Egypt-Poultry-exports-approved-after-14-years-604075E/,1593158277,2020-06-26 05:57:57+00:00,075a4e9c14,www.poultryworld.net
050PY5BQO8,S. Korea Reports Bird Flu Case at Slaughterhouse in Naju,"South Korea reported yet another case of the highly pathogenic avian influenza(AI), but this time at a slaughterhouse, not at a poultry farm as most had been. 

The provincial government of South Jeolla Province said on Thursday that samples from a duck slaughterhouse in Naju tested positive for the H5N8 strain of the bird flu.

The slaughterhouse is located within ten kilometers of a poultry farm in Yeongam, which reported a case. 

This marks the first case of AI reported at a slaughterhouse.

Quarantine authorities culled about 44-thousand ducks at the slaughterhouse and began to cull 400-thousand poultry at 14 farms within a three kilometer radius of the slaughterhouse.

Authorities also issued a 30-day standstill order for all poultry farms in the areas within a ten-kilometer radius of the slaughterhouse, banning movement of poultry and related vehicles.","South Korea, South Jeolla Province",http://world.kbs.co.kr/service/news_view.htm?lang%253De%2526Seq_Code%253D158203,1607643665,2020-12-10 22:41:05+00:00,075a4e9c14,world.kbs.co.kr
05XNJ4Q67N,Agriculture ministry requests boosting avian flu fight,"Agriculture ministry requests boosting avian flu fight 
Illustrative image ( Photo: VNA ) 

Hanoi ( VNA ) -- The Ministry of Agriculture and 
Rural Development ( MARD ) on February 3 sent an urgent notice to the chairmen of 
the People's Committees of centrally-run cities and provinces, calling for 
drastic and concerted measures against avian flu epidemics. 

Localities were asked to take samples to offer timely 
warnings and effectively use vaccines against the flu. 

Chairs of the municipal and provincial People's Committees 
must direct units of the National Steering Committee against Smuggling, Trade 
Frauds and Counterfeits to promptly discover and strictly deal with illegal 
transportation of animals and their products, especially fowls from abroad. 

The Department of Animal Health was assigned to hold trips 
to localities to inspect the implementation of the measures, and actively work 
with international organisations to share experience in the effort. 

According to the World Organisation for Animal Health, avian 
flu outbreak has hit 11 countries and territories since January. 

Among nearly 4,000 samples taken from over 19,830 heads of 
poultry in 26 Vietnam's cities and provinces, 37.72 percent are tested positive 
to avian flu, 1.19 percent of them positive to A/H5N1 and 1.82 percent positive 
to A/H5N6 viruses. /. 

VNA",#,https://en.vietnamplus.vn/agriculture-ministry-requests-boosting-avian-flu-fight/168099.vnp,1580740080,2020-02-03 13:28:00+00:00,075a4e9c14,en.vietnamplus.vn
060KD0TU8Y,Kerala govt orders poultry culling after bird flu in Parappanangadi,"Kerala govt orders poultry culling after bird flu in Parappanangadi 
Kerala government on Saturday ordered the poultry culling in Parappanangadi in the backdrop of bird flu. According to officials, special squads have been deployed to cull all poultry within a one-kilometre radius of the epicenter. Disease Inspection Officer Nanda Kumar said, `` 10 special squads have been deployed to cull all poultry within 1km radius of the epicenter. '' Recently on March 7, two avian influenza incidents were reported at Kodiathoor and Vengeri villages in the state. Seeram Sambasiva Rao, Kozhikode District Collector had said that instructions regarding avian influenza were issued to the local residents. Get real-time alerts and all the news on your phone with the all-new India Today app. Download from",#,https://www.indiatoday.in/india/story/kerala-govt-orders-poultry-culling-after-bird-flu-in-parappanangadi-1655475-2020-03-14,1584175897,2020-03-14 07:51:37+00:00,075a4e9c14,www.indiatoday.in
